Lead Source,Total Time Spent on Website,Total Visits,Last Activity,Converted
Referral,4615,17,Form Submitted,0
Social Media,868,17,Form Submitted,0
Social Media,2063,1,Page Visited,0
Referral,1129,7,Page Visited,1
Organic Search,4378,16,Email Opened,0
Google,4456,5,Form Submitted,0
Organic Search,3729,16,Page Visited,1
Organic Search,1934,4,Form Submitted,0
Referral,1076,11,Page Visited,0
Social Media,1639,14,Form Submitted,0
Organic Search,1392,13,Email Opened,0
Social Media,30,8,Form Submitted,0
Direct Traffic,703,15,Page Visited,0
Social Media,868,18,Other,1
Google,232,7,Email Opened,0
Google,950,19,Email Opened,1
Organic Search,58,9,Other,1
Social Media,2818,11,Page Visited,1
Organic Search,3600,10,Email Opened,1
Referral,3149,14,Other,0
Google,301,16,Other,1
Organic Search,2850,8,Form Submitted,0
Referral,2944,1,Form Submitted,1
Organic Search,1923,12,Page Visited,0
Social Media,316,3,Other,0
Social Media,1888,2,Form Submitted,1
Social Media,2715,16,Page Visited,0
Social Media,4785,4,Email Opened,0
Direct Traffic,1881,2,Form Submitted,0
Referral,3898,12,Page Visited,1
Referral,4113,17,Form Submitted,0
Social Media,1178,10,Email Opened,0
Direct Traffic,3855,8,Email Opened,1
Social Media,4873,18,Form Submitted,0
Direct Traffic,4455,18,Email Opened,0
Social Media,331,18,Page Visited,1
Google,527,2,Form Submitted,0
Google,2059,12,Form Submitted,0
Organic Search,1098,10,Email Opened,0
Social Media,211,8,Page Visited,0
Referral,1714,19,Form Submitted,0
Organic Search,2688,10,Form Submitted,0
Google,2330,11,Email Opened,0
Social Media,3266,14,Email Opened,0
Organic Search,1032,15,Page Visited,0
Social Media,1332,10,Page Visited,1
Google,1840,4,Email Opened,1
Organic Search,4686,7,Page Visited,0
Google,2138,11,Other,0
Direct Traffic,4551,3,Other,1
Google,4091,5,Email Opened,0
Social Media,443,2,Form Submitted,1
Referral,4174,12,Email Opened,0
Google,1498,5,Email Opened,1
Referral,926,7,Email Opened,0
Direct Traffic,622,4,Form Submitted,0
Organic Search,1479,11,Other,1
Organic Search,3037,9,Page Visited,1
Referral,3385,4,Other,0
Organic Search,3318,9,Page Visited,1
Google,233,12,Page Visited,0
Referral,1617,16,Email Opened,0
Social Media,2691,1,Email Opened,0
Google,2030,8,Page Visited,0
Google,386,1,Form Submitted,1
Google,1634,19,Form Submitted,0
Social Media,4133,4,Form Submitted,0
Direct Traffic,1184,14,Form Submitted,0
Organic Search,1967,14,Email Opened,0
Referral,240,9,Other,0
Direct Traffic,561,9,Other,0
Referral,1999,17,Page Visited,1
Organic Search,4901,15,Form Submitted,0
Social Media,1929,10,Email Opened,0
Google,4900,17,Email Opened,0
Google,2779,9,Email Opened,0
Social Media,1675,4,Page Visited,0
Direct Traffic,2515,14,Email Opened,0
Direct Traffic,1677,3,Page Visited,0
Referral,4141,12,Page Visited,1
Social Media,3746,1,Page Visited,0
Direct Traffic,3356,1,Page Visited,1
Social Media,1651,13,Email Opened,0
Organic Search,4177,14,Email Opened,0
Google,3841,16,Other,0
Google,2441,7,Email Opened,0
Google,4885,10,Form Submitted,0
Social Media,594,15,Form Submitted,1
Social Media,2612,8,Page Visited,0
Referral,4096,11,Page Visited,0
Google,1496,14,Page Visited,0
Referral,3555,13,Other,0
Google,4861,13,Page Visited,0
Referral,4766,9,Other,1
Referral,3358,17,Page Visited,0
Organic Search,1601,18,Form Submitted,1
Referral,914,19,Page Visited,0
Social Media,1844,13,Email Opened,0
Referral,1995,12,Page Visited,0
Google,94,8,Email Opened,0
Referral,492,11,Email Opened,0
Direct Traffic,3069,7,Email Opened,0
Google,149,1,Email Opened,0
Direct Traffic,1046,10,Other,1
Google,2803,15,Other,0
Social Media,398,4,Page Visited,1
Social Media,4950,1,Page Visited,0
Social Media,4476,11,Other,1
Direct Traffic,551,5,Page Visited,0
Organic Search,294,19,Page Visited,0
Google,1143,19,Other,1
Social Media,455,4,Other,0
Google,1553,2,Page Visited,0
Direct Traffic,168,7,Other,0
Organic Search,4805,13,Form Submitted,0
Direct Traffic,1946,12,Email Opened,1
Google,253,2,Email Opened,1
Organic Search,2376,9,Form Submitted,1
Organic Search,1320,16,Form Submitted,1
Direct Traffic,2883,8,Page Visited,0
Social Media,3607,18,Page Visited,0
Google,2125,4,Email Opened,1
Referral,3496,11,Page Visited,0
Referral,2240,17,Email Opened,0
Direct Traffic,400,8,Page Visited,0
Google,2156,19,Page Visited,1
Google,2376,8,Email Opened,0
Direct Traffic,362,6,Form Submitted,1
Google,3938,2,Form Submitted,0
Social Media,3851,15,Page Visited,0
Direct Traffic,3412,1,Form Submitted,1
Social Media,2306,6,Page Visited,1
Google,84,19,Other,0
Direct Traffic,1824,4,Other,0
Google,3885,13,Other,0
Direct Traffic,307,15,Form Submitted,1
Google,4357,9,Form Submitted,0
Social Media,1921,3,Email Opened,0
Social Media,630,2,Form Submitted,1
Google,4775,16,Page Visited,0
Direct Traffic,4960,18,Email Opened,0
Referral,2371,18,Form Submitted,1
Social Media,3300,6,Email Opened,1
Social Media,3667,18,Form Submitted,1
Referral,726,11,Page Visited,0
Google,1648,7,Other,1
Direct Traffic,4312,14,Other,1
Google,1269,18,Page Visited,0
Organic Search,4543,7,Email Opened,0
Social Media,318,10,Other,0
Organic Search,3475,8,Form Submitted,1
Social Media,2778,14,Form Submitted,1
Social Media,3058,18,Email Opened,1
Organic Search,4134,5,Email Opened,0
Organic Search,1602,14,Page Visited,0
Google,2256,10,Other,0
Organic Search,829,15,Email Opened,1
Google,855,6,Other,0
Google,2648,9,Other,0
Google,1858,10,Form Submitted,0
Social Media,1102,17,Email Opened,0
Social Media,2481,1,Page Visited,0
Organic Search,1820,14,Email Opened,1
Social Media,4937,4,Other,0
Organic Search,2079,2,Form Submitted,0
Social Media,3158,3,Email Opened,0
Direct Traffic,2440,7,Email Opened,0
Direct Traffic,3684,14,Email Opened,1
Organic Search,1255,12,Page Visited,0
Social Media,2957,19,Page Visited,0
Social Media,3651,18,Page Visited,1
Google,2239,15,Page Visited,0
Referral,1939,1,Form Submitted,1
Organic Search,269,3,Form Submitted,0
Referral,4830,15,Page Visited,0
Referral,4064,4,Other,0
Organic Search,4979,15,Page Visited,0
Social Media,3775,10,Page Visited,1
Organic Search,1112,6,Other,1
Referral,648,13,Email Opened,0
Social Media,1179,7,Other,0
Direct Traffic,2142,1,Other,1
Organic Search,16,11,Form Submitted,0
Organic Search,116,14,Email Opened,0
Social Media,1545,6,Other,0
Direct Traffic,3151,5,Page Visited,0
Direct Traffic,2693,19,Other,0
Social Media,4089,19,Form Submitted,0
Google,1276,13,Other,0
Organic Search,3240,7,Page Visited,1
Organic Search,4942,8,Email Opened,0
Referral,3788,14,Form Submitted,0
Social Media,371,19,Email Opened,0
Referral,2807,19,Form Submitted,1
Referral,155,12,Page Visited,0
Direct Traffic,2661,9,Form Submitted,0
Organic Search,464,14,Email Opened,1
Referral,4878,6,Email Opened,0
Direct Traffic,4899,15,Other,0
Social Media,4315,13,Email Opened,1
Referral,1773,7,Other,0
Organic Search,116,11,Email Opened,0
Referral,2103,10,Other,0
Social Media,1374,1,Page Visited,1
Referral,3203,7,Other,0
Organic Search,4403,18,Email Opened,1
Direct Traffic,3546,3,Page Visited,1
Organic Search,3977,9,Form Submitted,0
Direct Traffic,4317,5,Email Opened,1
Google,1196,13,Other,0
Organic Search,3411,16,Form Submitted,0
Organic Search,796,16,Other,0
Social Media,3892,12,Form Submitted,0
Referral,150,18,Page Visited,0
Direct Traffic,3249,11,Email Opened,0
Direct Traffic,111,17,Page Visited,0
Social Media,682,7,Email Opened,0
Social Media,1161,15,Form Submitted,1
Referral,2379,6,Page Visited,0
Referral,4988,6,Email Opened,1
Organic Search,160,18,Form Submitted,1
Google,1425,19,Page Visited,0
Referral,3661,19,Page Visited,0
Social Media,277,2,Page Visited,0
Referral,3391,3,Page Visited,1
Direct Traffic,1556,14,Other,0
Google,4592,4,Form Submitted,0
Organic Search,1915,17,Other,0
Direct Traffic,4750,6,Form Submitted,0
Direct Traffic,3107,19,Form Submitted,0
Google,302,9,Form Submitted,0
Organic Search,4533,4,Email Opened,0
Social Media,2773,7,Form Submitted,1
Organic Search,4281,4,Page Visited,1
Referral,3245,11,Other,0
Direct Traffic,4768,2,Page Visited,1
Referral,1000,10,Page Visited,1
Social Media,3834,6,Other,0
Referral,4006,8,Page Visited,0
Organic Search,4778,15,Email Opened,1
Referral,1718,13,Page Visited,0
Social Media,3830,2,Page Visited,1
Social Media,3181,1,Other,0
Social Media,2882,15,Page Visited,0
Organic Search,998,7,Other,0
Social Media,284,18,Form Submitted,0
Direct Traffic,420,10,Form Submitted,0
Social Media,2160,15,Email Opened,0
Referral,3065,5,Other,0
Referral,2275,11,Other,0
Referral,1494,8,Other,0
Organic Search,3884,8,Email Opened,1
Referral,4623,6,Email Opened,0
Organic Search,2543,15,Page Visited,1
Organic Search,4126,15,Other,1
Social Media,4257,5,Email Opened,0
Direct Traffic,1841,13,Form Submitted,0
Social Media,4800,14,Form Submitted,1
Social Media,721,11,Other,1
Organic Search,1401,12,Form Submitted,0
Organic Search,445,1,Page Visited,1
Referral,2791,3,Page Visited,0
Referral,4522,8,Other,0
Social Media,3767,12,Email Opened,0
Google,2551,15,Email Opened,0
Google,1967,3,Email Opened,1
Referral,3888,8,Email Opened,1
Google,4816,19,Other,0
Referral,2731,6,Page Visited,0
Organic Search,2629,18,Other,0
Social Media,1964,11,Other,0
Direct Traffic,1057,12,Form Submitted,0
Social Media,4831,2,Page Visited,0
Referral,757,5,Email Opened,0
Referral,1795,4,Page Visited,0
Social Media,1643,9,Form Submitted,1
Referral,4849,13,Other,1
Google,23,13,Page Visited,0
Google,1239,15,Form Submitted,0
Referral,4150,2,Other,0
Referral,3097,13,Email Opened,0
Google,1304,7,Page Visited,1
Referral,2542,17,Email Opened,0
Referral,3712,8,Email Opened,0
Social Media,3955,18,Form Submitted,0
Direct Traffic,4529,15,Form Submitted,1
Google,4303,15,Other,0
Social Media,4228,5,Email Opened,0
Direct Traffic,1305,2,Form Submitted,1
Referral,4464,16,Form Submitted,0
Referral,3174,5,Email Opened,0
Social Media,3628,6,Other,0
Referral,781,12,Email Opened,1
Organic Search,566,5,Other,1
Social Media,4622,8,Other,0
Direct Traffic,4132,11,Form Submitted,0
Social Media,4273,14,Email Opened,0
Google,638,17,Email Opened,0
Social Media,3700,10,Form Submitted,0
Referral,4167,2,Page Visited,0
Referral,2399,3,Page Visited,0
Organic Search,2670,13,Email Opened,1
Organic Search,1172,17,Form Submitted,0
Organic Search,1720,3,Other,0
Direct Traffic,104,10,Other,0
Organic Search,1682,8,Email Opened,0
Direct Traffic,4316,4,Form Submitted,0
Organic Search,1849,13,Email Opened,0
Direct Traffic,862,7,Email Opened,1
Social Media,3445,7,Form Submitted,1
Social Media,2565,16,Email Opened,0
Referral,298,5,Other,0
Direct Traffic,2908,17,Page Visited,0
Google,4137,10,Other,1
Referral,770,4,Page Visited,0
Social Media,2539,14,Form Submitted,0
Direct Traffic,1462,5,Email Opened,1
Organic Search,3854,2,Page Visited,1
Google,3118,14,Form Submitted,1
Social Media,2132,18,Form Submitted,1
Referral,1709,11,Form Submitted,0
Direct Traffic,990,16,Other,1
Google,710,18,Other,0
Direct Traffic,4304,16,Page Visited,1
Organic Search,38,4,Page Visited,0
Referral,1275,1,Other,0
Direct Traffic,4857,14,Page Visited,0
Social Media,1436,12,Page Visited,0
Referral,2993,10,Email Opened,0
Social Media,1469,19,Page Visited,0
Direct Traffic,2099,4,Form Submitted,0
Referral,373,3,Email Opened,0
Social Media,4251,4,Page Visited,0
Organic Search,4025,15,Email Opened,0
Organic Search,1113,11,Form Submitted,0
Direct Traffic,2726,16,Page Visited,1
Referral,2398,4,Email Opened,0
Google,3234,6,Page Visited,0
Referral,1265,8,Email Opened,0
Organic Search,3123,13,Email Opened,1
Social Media,653,4,Form Submitted,0
Google,4158,5,Form Submitted,0
Direct Traffic,508,10,Page Visited,1
Google,2339,5,Other,1
Direct Traffic,3162,12,Page Visited,1
Google,1687,1,Email Opened,0
Direct Traffic,1388,10,Form Submitted,1
Direct Traffic,2197,5,Form Submitted,0
Google,3911,19,Email Opened,1
Google,2928,19,Other,1
Direct Traffic,4799,12,Form Submitted,1
Organic Search,515,16,Other,0
Google,3658,5,Form Submitted,1
Referral,1833,17,Email Opened,0
Social Media,29,14,Page Visited,0
Direct Traffic,3214,12,Page Visited,0
Direct Traffic,325,13,Other,0
Social Media,3766,14,Page Visited,0
Organic Search,4111,5,Email Opened,0
Social Media,110,5,Page Visited,0
Google,106,18,Other,0
Social Media,2426,14,Email Opened,1
Direct Traffic,4378,18,Email Opened,1
Social Media,4364,1,Form Submitted,0
Referral,2531,7,Form Submitted,1
Google,3144,17,Page Visited,0
Social Media,4693,3,Other,1
Direct Traffic,798,10,Email Opened,0
Google,2437,7,Page Visited,1
Direct Traffic,2011,12,Page Visited,1
Organic Search,425,15,Form Submitted,0
Referral,3044,16,Page Visited,0
Organic Search,3288,8,Page Visited,0
Referral,2914,6,Form Submitted,0
Social Media,1239,4,Page Visited,0
Google,3391,11,Page Visited,0
Social Media,4213,17,Email Opened,0
Referral,3997,2,Page Visited,0
Referral,3006,6,Form Submitted,1
Referral,3039,4,Form Submitted,1
Direct Traffic,598,3,Email Opened,0
Google,2087,7,Form Submitted,0
Social Media,1184,7,Form Submitted,0
Social Media,2750,16,Form Submitted,0
Organic Search,2584,2,Page Visited,0
Referral,4759,8,Email Opened,1
Referral,3513,15,Other,1
Referral,4745,16,Email Opened,0
Social Media,4054,1,Email Opened,0
Organic Search,4383,10,Email Opened,1
Direct Traffic,3936,7,Other,1
Google,1699,16,Other,1
Direct Traffic,4507,10,Form Submitted,0
Social Media,2575,12,Page Visited,0
Referral,135,17,Form Submitted,0
Google,2025,13,Form Submitted,0
Social Media,3535,12,Other,1
Social Media,4854,15,Form Submitted,0
Social Media,2890,14,Form Submitted,1
Google,2757,19,Other,0
Google,3773,19,Email Opened,1
Organic Search,380,14,Email Opened,0
Organic Search,1528,18,Other,0
Direct Traffic,4901,5,Page Visited,0
Google,4571,6,Form Submitted,0
Google,3628,18,Email Opened,1
Google,848,14,Other,0
Organic Search,4992,4,Page Visited,1
Social Media,4127,1,Form Submitted,0
Referral,1927,13,Other,0
Organic Search,2165,11,Other,1
Google,4286,3,Other,1
Organic Search,2121,17,Form Submitted,0
Direct Traffic,4718,18,Email Opened,1
Google,2918,10,Form Submitted,0
Direct Traffic,4681,16,Form Submitted,0
Google,472,13,Email Opened,1
Organic Search,1787,12,Other,0
Social Media,113,4,Page Visited,0
Referral,1336,8,Page Visited,0
Direct Traffic,338,12,Email Opened,0
Organic Search,2285,19,Email Opened,0
Social Media,1196,15,Other,0
Organic Search,78,16,Page Visited,1
Direct Traffic,4559,12,Page Visited,0
Referral,2652,18,Other,0
Organic Search,4657,12,Email Opened,1
Google,4380,16,Email Opened,0
Social Media,4318,11,Other,1
Organic Search,2640,14,Email Opened,1
Social Media,1256,2,Form Submitted,1
Google,827,13,Email Opened,0
Referral,2718,14,Form Submitted,0
Referral,4923,6,Page Visited,0
Google,2810,12,Page Visited,0
Social Media,3385,7,Email Opened,0
Organic Search,1965,4,Other,0
Google,2427,7,Email Opened,0
Direct Traffic,2841,13,Other,0
Social Media,613,11,Page Visited,0
Referral,562,8,Page Visited,1
Google,4826,19,Page Visited,0
Referral,4352,2,Other,0
Social Media,184,18,Other,0
Referral,2192,10,Page Visited,0
Google,4065,6,Email Opened,0
Social Media,245,4,Other,0
Direct Traffic,4086,19,Form Submitted,0
Google,2234,14,Page Visited,1
Organic Search,865,14,Other,0
Google,2087,18,Page Visited,0
Social Media,600,17,Form Submitted,0
Google,3033,18,Email Opened,0
Direct Traffic,2056,18,Form Submitted,0
Direct Traffic,2131,5,Email Opened,0
Organic Search,532,9,Email Opened,1
Referral,2042,1,Other,0
Social Media,357,4,Email Opened,0
Social Media,377,7,Email Opened,0
Referral,2219,11,Email Opened,1
Direct Traffic,4488,14,Page Visited,0
Direct Traffic,4797,10,Other,0
Google,3307,19,Other,1
Organic Search,2596,8,Email Opened,1
Organic Search,783,3,Page Visited,0
Organic Search,2379,8,Email Opened,0
Google,3603,18,Other,0
Organic Search,982,5,Other,0
Referral,3942,11,Other,0
Google,2590,9,Other,1
Referral,1042,19,Page Visited,1
Google,2538,12,Form Submitted,0
Organic Search,861,5,Form Submitted,1
Referral,1876,16,Page Visited,1
Referral,1835,13,Email Opened,1
Referral,4208,6,Other,1
Google,3526,16,Other,0
Social Media,1685,18,Other,0
Organic Search,3401,17,Page Visited,0
Referral,1622,12,Page Visited,0
Social Media,4957,1,Other,0
Organic Search,2657,7,Other,0
Organic Search,1932,14,Email Opened,0
Referral,507,18,Form Submitted,0
Referral,4561,1,Page Visited,0
Google,3478,10,Form Submitted,0
Social Media,2656,15,Other,0
Social Media,1121,11,Form Submitted,0
Referral,289,4,Form Submitted,0
Organic Search,2829,15,Page Visited,1
Referral,2209,16,Page Visited,0
Organic Search,4812,15,Email Opened,0
Organic Search,1400,17,Other,0
Referral,566,11,Email Opened,0
Direct Traffic,1473,18,Page Visited,0
Social Media,1987,16,Email Opened,0
Organic Search,3787,15,Form Submitted,1
Organic Search,3865,11,Form Submitted,1
Direct Traffic,3260,13,Page Visited,0
Google,3547,18,Form Submitted,0
Direct Traffic,3251,8,Other,0
Direct Traffic,1716,9,Page Visited,0
Organic Search,1012,11,Other,1
Social Media,1310,17,Page Visited,0
Direct Traffic,4570,1,Page Visited,0
Google,617,11,Form Submitted,0
Referral,4736,7,Page Visited,0
Direct Traffic,4257,8,Page Visited,1
Direct Traffic,1982,19,Email Opened,0
Google,2228,4,Form Submitted,0
Social Media,4820,4,Other,0
Direct Traffic,468,19,Page Visited,0
Direct Traffic,4116,9,Other,0
Social Media,4355,17,Email Opened,0
Google,1139,18,Page Visited,0
Direct Traffic,1436,1,Other,0
Social Media,536,14,Form Submitted,0
Direct Traffic,951,4,Email Opened,0
Referral,2813,10,Email Opened,0
Organic Search,3006,14,Other,0
Referral,3994,7,Page Visited,1
Direct Traffic,1840,12,Page Visited,0
Google,850,16,Form Submitted,0
Organic Search,1971,5,Form Submitted,1
Referral,1191,11,Page Visited,0
Social Media,3920,4,Email Opened,1
Google,4628,13,Form Submitted,1
Referral,2062,8,Form Submitted,0
Social Media,3046,7,Email Opened,1
Direct Traffic,4399,11,Page Visited,0
Social Media,3558,11,Other,0
Referral,4511,17,Form Submitted,1
Referral,304,14,Email Opened,0
Direct Traffic,4908,2,Form Submitted,0
Social Media,2847,8,Email Opened,1
Social Media,2435,2,Form Submitted,1
Direct Traffic,2804,15,Page Visited,0
Social Media,1984,5,Email Opened,1
Direct Traffic,3936,6,Other,0
Google,712,17,Other,0
Referral,2895,8,Form Submitted,0
Google,1681,19,Other,0
Organic Search,1333,5,Form Submitted,0
Organic Search,3198,19,Email Opened,0
Organic Search,174,14,Email Opened,0
Direct Traffic,3205,10,Other,0
Social Media,1416,13,Other,1
Google,1987,5,Page Visited,0
Google,4853,7,Email Opened,0
Google,1772,10,Other,1
Google,4266,11,Other,0
Organic Search,1074,3,Other,1
Google,4760,13,Form Submitted,0
Social Media,591,2,Page Visited,0
Organic Search,2978,4,Email Opened,0
Google,3982,3,Other,0
Direct Traffic,2410,15,Other,0
Referral,847,4,Other,0
Referral,493,4,Form Submitted,1
Referral,545,15,Email Opened,0
Organic Search,4999,6,Other,0
Google,2286,5,Other,1
Organic Search,2697,12,Form Submitted,0
Social Media,3837,7,Form Submitted,1
Direct Traffic,1540,3,Page Visited,0
Direct Traffic,883,7,Page Visited,0
Referral,3956,12,Email Opened,0
Referral,3094,15,Page Visited,0
Referral,2365,19,Email Opened,0
Google,3347,6,Page Visited,1
Social Media,3071,8,Other,0
Social Media,3675,6,Page Visited,0
Social Media,4715,3,Other,0
Social Media,952,5,Email Opened,0
Referral,3300,9,Page Visited,0
Direct Traffic,3735,16,Page Visited,0
Referral,3179,16,Page Visited,0
Social Media,2963,9,Other,0
Referral,4027,18,Other,1
Social Media,3247,13,Page Visited,0
Organic Search,4415,11,Email Opened,0
Direct Traffic,3357,10,Other,1
Organic Search,4971,10,Form Submitted,1
Google,4848,6,Email Opened,0
Referral,2704,16,Email Opened,1
Google,1037,12,Email Opened,0
Referral,70,4,Other,0
Organic Search,2874,5,Page Visited,1
Social Media,105,2,Page Visited,1
Social Media,769,19,Form Submitted,0
Referral,2009,1,Page Visited,0
Social Media,2940,4,Form Submitted,0
Organic Search,2192,12,Form Submitted,0
Social Media,3495,2,Page Visited,1
Organic Search,4311,12,Form Submitted,0
Google,4355,16,Email Opened,0
Organic Search,933,2,Email Opened,0
Direct Traffic,574,17,Email Opened,1
Direct Traffic,3930,2,Other,0
Direct Traffic,4380,4,Form Submitted,0
Referral,4087,6,Form Submitted,1
Referral,2531,7,Email Opened,0
Referral,2419,15,Other,1
Organic Search,69,12,Page Visited,0
Referral,4474,5,Email Opened,0
Google,1302,14,Other,0
Direct Traffic,3814,16,Page Visited,0
Organic Search,2349,11,Other,0
Direct Traffic,254,12,Page Visited,0
Referral,1707,19,Form Submitted,0
Organic Search,4787,17,Form Submitted,0
Social Media,833,7,Other,0
Google,2764,9,Other,0
Referral,2471,14,Page Visited,0
Referral,3742,12,Other,0
Google,2035,15,Other,0
Google,1967,12,Page Visited,0
Social Media,99,13,Page Visited,0
Referral,1852,9,Form Submitted,0
Referral,3183,7,Email Opened,0
Direct Traffic,2355,1,Other,0
Organic Search,111,10,Page Visited,1
Organic Search,3158,6,Form Submitted,0
Direct Traffic,182,15,Email Opened,0
Organic Search,3852,15,Other,0
Google,164,9,Form Submitted,1
Organic Search,2137,13,Email Opened,0
Organic Search,2023,1,Other,0
Direct Traffic,454,9,Form Submitted,1
Social Media,2285,3,Other,0
Organic Search,4822,9,Email Opened,0
Organic Search,541,15,Page Visited,0
Social Media,2665,7,Form Submitted,0
Direct Traffic,2449,4,Email Opened,0
Social Media,4937,17,Other,0
Direct Traffic,3933,4,Email Opened,1
Google,2886,19,Email Opened,0
Direct Traffic,4614,5,Page Visited,1
Google,4292,16,Form Submitted,1
Google,3904,3,Email Opened,0
Direct Traffic,1688,11,Page Visited,0
Referral,1637,15,Page Visited,0
Direct Traffic,4728,19,Page Visited,0
Organic Search,4670,14,Other,0
Organic Search,4082,16,Page Visited,0
Referral,1890,6,Page Visited,1
Google,3205,5,Page Visited,0
Referral,477,17,Page Visited,0
Organic Search,2366,16,Form Submitted,1
Referral,2526,2,Form Submitted,0
Direct Traffic,366,11,Page Visited,0
Referral,1836,4,Email Opened,0
Google,1715,6,Other,0
Direct Traffic,12,7,Email Opened,0
Social Media,535,17,Email Opened,1
Organic Search,3239,8,Page Visited,0
Organic Search,2317,1,Email Opened,0
Referral,4042,15,Form Submitted,0
Direct Traffic,375,12,Form Submitted,0
Social Media,1724,15,Other,0
Direct Traffic,256,15,Form Submitted,0
Organic Search,2264,9,Form Submitted,0
Direct Traffic,449,16,Page Visited,0
Social Media,893,2,Form Submitted,0
Referral,3212,15,Email Opened,1
Google,1184,15,Email Opened,0
Direct Traffic,3223,7,Form Submitted,0
Google,1308,13,Other,0
Organic Search,4705,17,Other,0
Referral,916,11,Other,1
Referral,147,10,Form Submitted,0
Direct Traffic,4751,1,Other,1
Referral,2114,14,Form Submitted,1
Direct Traffic,4016,5,Email Opened,0
Direct Traffic,3940,8,Other,1
Google,4071,1,Other,1
Referral,2795,7,Other,0
Direct Traffic,442,2,Email Opened,0
Google,2944,7,Form Submitted,0
Social Media,3936,7,Email Opened,0
Google,398,9,Email Opened,0
Google,1151,4,Page Visited,0
Direct Traffic,3792,7,Other,0
Organic Search,2995,18,Form Submitted,0
Organic Search,2216,13,Form Submitted,1
Organic Search,1707,11,Page Visited,0
Google,3331,9,Page Visited,0
Direct Traffic,1987,14,Email Opened,0
Referral,4602,8,Page Visited,0
Google,2568,14,Form Submitted,1
Google,160,17,Form Submitted,0
Direct Traffic,4435,14,Form Submitted,1
Social Media,3904,5,Email Opened,0
Google,3573,10,Other,1
Social Media,3177,6,Other,1
Social Media,1825,10,Email Opened,1
Organic Search,3924,11,Form Submitted,0
Direct Traffic,1623,6,Form Submitted,0
Social Media,1176,10,Email Opened,0
Direct Traffic,4918,14,Email Opened,0
Organic Search,3720,3,Page Visited,0
Direct Traffic,4880,7,Email Opened,0
Google,3220,2,Other,1
Social Media,3259,7,Email Opened,0
Direct Traffic,130,17,Form Submitted,1
Referral,3562,13,Form Submitted,0
Direct Traffic,1499,9,Form Submitted,0
Social Media,2788,13,Other,0
Organic Search,4876,15,Other,0
Organic Search,3708,13,Page Visited,0
Social Media,1707,17,Email Opened,1
Google,1769,8,Page Visited,0
Google,1318,9,Email Opened,1
Organic Search,3379,9,Email Opened,1
Organic Search,2773,8,Other,0
Social Media,2990,16,Form Submitted,1
Google,3044,7,Email Opened,1
Organic Search,375,17,Other,1
Google,3036,7,Page Visited,1
Organic Search,660,6,Form Submitted,1
Direct Traffic,1403,5,Page Visited,0
Referral,740,17,Page Visited,0
Direct Traffic,303,8,Other,1
Organic Search,1085,1,Form Submitted,1
Referral,4881,16,Email Opened,0
Referral,3179,17,Page Visited,0
Organic Search,1210,3,Email Opened,0
Organic Search,3034,13,Form Submitted,0
Google,228,8,Other,0
Organic Search,3119,16,Other,0
Social Media,1854,7,Other,1
Organic Search,267,15,Email Opened,0
Social Media,2774,2,Email Opened,0
Organic Search,2849,2,Form Submitted,1
Google,4349,10,Email Opened,1
Social Media,4965,5,Other,0
Direct Traffic,2134,4,Page Visited,0
Social Media,3459,15,Page Visited,0
Google,2269,13,Page Visited,1
Social Media,989,17,Other,0
Organic Search,4492,1,Email Opened,0
Organic Search,937,18,Page Visited,1
Google,439,15,Email Opened,1
Referral,2358,14,Email Opened,0
Organic Search,2007,9,Other,0
Direct Traffic,3345,12,Email Opened,0
Google,4130,5,Email Opened,0
Social Media,4816,2,Other,0
Social Media,3743,7,Form Submitted,0
Direct Traffic,518,9,Page Visited,0
Organic Search,268,18,Page Visited,0
Google,4733,4,Email Opened,1
Direct Traffic,4185,2,Form Submitted,0
Organic Search,1388,1,Other,0
Google,1694,12,Email Opened,1
Social Media,3273,13,Other,0
Google,1389,14,Page Visited,1
Referral,3865,5,Other,0
Google,3029,3,Page Visited,0
Referral,2335,4,Other,0
Google,3674,17,Other,0
Referral,4576,19,Form Submitted,0
Social Media,500,11,Other,0
Organic Search,1661,8,Email Opened,0
Referral,2099,12,Form Submitted,0
Referral,102,18,Email Opened,0
Social Media,2746,18,Other,0
Referral,3276,9,Other,0
Direct Traffic,3085,5,Form Submitted,1
Social Media,3537,17,Page Visited,0
Direct Traffic,1327,13,Form Submitted,1
Social Media,2474,6,Page Visited,0
Referral,1679,14,Page Visited,0
Direct Traffic,3746,15,Other,0
Referral,2562,14,Email Opened,1
Social Media,4163,4,Form Submitted,1
Referral,3317,18,Form Submitted,1
Direct Traffic,2436,1,Other,0
Direct Traffic,307,12,Other,1
Referral,3996,9,Form Submitted,0
Google,1089,10,Form Submitted,0
Social Media,4555,18,Email Opened,0
Social Media,2394,17,Other,0
Referral,4004,19,Email Opened,1
Google,666,4,Other,0
Direct Traffic,4163,16,Other,0
Organic Search,2234,7,Email Opened,0
Organic Search,1236,9,Page Visited,1
Referral,1623,8,Page Visited,0
Google,1374,7,Page Visited,0
Google,3311,10,Other,0
Social Media,176,8,Email Opened,1
Direct Traffic,1353,17,Page Visited,1
Google,2928,12,Form Submitted,0
Organic Search,625,14,Page Visited,0
Direct Traffic,2654,12,Email Opened,1
Direct Traffic,3608,2,Other,1
Referral,3715,12,Email Opened,0
Google,4274,14,Other,0
Referral,394,7,Email Opened,1
